hour,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
2017-01-04 01:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-04 02:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-04 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-04 04:00:00,1,34.950,0.000,0.000,34.950,10.990,0.000,45.940
2017-01-04 05:00:00,4,144.800,0.000,0.000,144.800,0.000,0.000,144.800
2017-01-04 06:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-04 07:00:00,3,104.850,0.000,0.000,104.850,10.990,0.000,115.840
2017-01-04 08:00:00,4,149.800,0.000,0.000,149.800,0.000,0.000,149.800
2017-01-04 09:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-04 10:00:00,5,244.650,0.000,0.000,244.650,0.000,0.000,244.650
2017-01-04 11:00:00,2,59.900,0.000,0.000,59.900,0.000,0.000,59.900
2017-01-04 12:00:00,6,409.500,-67.410,0.000,342.090,0.000,0.000,342.090
2017-01-04 13:00:00,4,139.800,0.000,0.000,139.800,0.000,0.000,139.800
2017-01-04 14:00:00,3,94.850,0.000,0.000,94.850,0.000,0.000,94.850
2017-01-04 15:00:00,5,214.750,0.000,0.000,214.750,0.000,0.000,214.750
2017-01-04 16:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-04 17:00:00,2,59.900,-6.230,0.000,53.670,0.000,0.000,53.670
2017-01-04 18:00:00,7,239.650,0.000,0.000,239.650,0.000,0.000,239.650
2017-01-04 19:00:00,4,149.800,0.000,0.000,149.800,0.000,0.000,149.800
2017-01-04 20:00:00,3,79.850,0.000,0.000,79.850,0.000,0.000,79.850
2017-01-04 21:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-04 22:00:00,1,24.950,0.000,0.000,24.950,0.000,0.000,24.950
2017-01-04 23:00:00,1,44.950,0.000,0.000,44.950,10.990,0.000,55.940
2017-01-05 00:00:00,1,44.950,0.000,0.000,44.950,7.990,0.000,52.940
2017-01-05 01:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-05 02:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-05 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-05 04:00:00,2,69.900,-8.730,0.000,61.170,7.990,0.000,69.160
2017-01-05 05:00:00,1,44.950,0.000,-104.850,-59.900,0.000,0.000,-59.900
2017-01-05 06:00:00,3,134.850,0.000,0.000,134.850,0.000,0.000,134.850
2017-01-05 07:00:00,3,104.850,0.000,0.000,104.850,0.000,0.000,104.850
2017-01-05 08:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-05 09:00:00,3,104.850,-11.230,0.000,93.620,0.000,0.000,93.620
2017-01-05 10:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-05 11:00:00,3,129.800,0.000,0.000,129.800,0.000,0.000,129.800
2017-01-05 12:00:00,3,104.850,0.000,0.000,104.850,0.000,0.000,104.850
2017-01-05 13:00:00,4,134.800,0.000,0.000,134.800,0.000,0.000,134.800
2017-01-05 14:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-05 15:00:00,3,114.850,0.000,0.000,114.850,0.000,0.000,114.850
